,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
GALADRIEL VOICEOVER,0.6078705314272385,0.08663427606012555,0.5333061630493946,0.9564666463478115,0.31306171717438397
GATEKEEPER,0.5129655853719017,0.0701910740229946,0.46903958661592193,0.011956679451031387,0.6530080650031664
GRISHNAKH,0.22201135981970777,0.04452276856405191,0.41851083514915083,0.07501999065241148,0.36136135490619614
SARUMAN VOICEOVER,0.7739623154272092,0.616475273855307,0.4170062812941019,0.027940199171477043,0.7289049060064585
FARMER MAGGOT,0.5413429282996594,0.09074910253965081,0.5269952781926655,0.5416925926627763,0.7864318809681958
GAFFER,0.3407355999643238,0.05621628496123663,0.9330643238215905,0.049829005040518376,0.4502418367371005
GORBAG,0.8266652917833508,0.1198191084513208,0.9867889775998471,0.008408915245324241,0.8806614006604445
SAURON VOICE,0.1405213376343274,0.8600138778004454,0.11013414576045936,0.9702894000490163,0.941110285358757
SNAGA,0.6889197087491001,0.044959536434907396,0.3468800212445899,0.013586896824921698,0.6232200266716509
URUK HAI,0.34961088075218116,0.11340198406495247,0.838178840671165,0.6226926109145,0.7803783366184168
IROLAS,0.715898448150995,0.1341557975067587,0.33846654998264214,0.9040537788320215,0.8760591110061833
GATEKEEPR,0.8144754522400902,0.49020393387614253,0.39011917402398794,0.6509626698980435,0.7717722920314928
ARWEN VOICEOVER,0.9343820345576848,0.32825543397738877,0.2611201519023274,0.5381253675578288,0.890642962731609
GALADRIEL VOICE-OVER,0.36487212668376,0.6384884598263966,0.3620430096515611,0.01583221695732669,0.9436138541184602
GALADRIL,0.6927157424102983,0.18334915723210285,0.08625107393450532,0.005964404572030393,0.7584253856692109
GENERAL,0.6024156444670306,0.1064337293404048,0.7247309021620878,0.023516870319965903,0.9127790508219403
CAPTAIN,0.27136309727346913,0.1341723455899808,0.9004305322909658,0.0034850920342356317,0.17408204207466593
DEAGOL,0.020428006125098097,0.023308396222131687,0.9804224776704246,0.7286413280404425,0.8912494478665616
FREDA,0.7777831485612923,0.10265107216210831,0.41793243558433046,0.014822292409510995,0.6188230392551699
ROHAN STABLEMAN,0.06629489632038223,0.03863966706059409,0.9537005690948466,0.031324277535508524,0.5818879804361257
ARGORN,0.20471824909222286,0.11842501533689534,0.6143152090466671,0.020968852577360288,0.7230411860080003
HOBBIT,0.8062848381679901,0.22512993091484454,0.38496608372271807,0.5881770891978626,0.7478949249538728
ORCS,0.9315479447207802,0.49269257715289927,0.7893340995090037,0.3659958695478419,0.9216145416828594
SOLDIERS,0.025581621978391415,0.09411728838776968,0.559039063672002,0.08120773359294406,0.5023225674410696
WOMAN,0.17316960318590463,0.14812973973712978,0.4455848141369418,0.6616554233122073,0.7912242284224733
URUK-HAI,0.1867153586631446,0.10556287324690838,0.6451275713032528,0.7133563973382061,0.8366683795502314
WILDMAN,0.016807515566971094,0.16134093756408252,0.08339361276255833,0.0022877312446990842,0.6072580071663025
PEOPLE,0.9680045260033834,0.15326158694716796,0.339679882689731,0.001738900775689069,0.8286846597283548
ROHAN HORSEMAN,0.7847830322874829,0.15365519543708978,0.6899105696632106,0.12717876703445494,0.836016259310204
SHARKU,0.46664892015811504,0.023533507005588518,0.9038962509955619,0.24676648452911368,0.8036065448392931
NOAKES,0.20313524402992233,0.004639682048589238,0.5213986142995058,0.7689625791949719,0.7716666160550714
MAN,0.44688606875656767,0.16329568399500316,0.24012660499248736,0.9352166946104308,0.9911637888155276
VOICE,0.9748925087655905,0.043593017379268066,0.2512489243266029,0.4344480108732542,0.8694557730665619
GRIMBOLD,0.7895509745341561,0.05768458877187319,0.9851913388270367,0.058128875323471066,0.40446416913557676
WHITE WIZARD,0.8208573141440496,0.04693125334315972,0.9899470081078985,0.7141957348538914,0.1911664971645476
FIGWIT,0.10911813736661449,0.43480426708316344,0.07732554865907329,0.19773041321315576,0.7605126287921447
GRISHNAK,0.7777831485612923,0.10265107216210831,0.41793243558433046,0.014822292409510995,0.6188230392551699
CHILDREN HOBBITS,0.44539268021611267,0.4566323439478639,0.9410389889455111,0.5265099927229494,0.9608404842802054
BOSON,0.9843859748589106,0.01317629747755322,0.9634186700743521,0.2751504210466681,0.937627121102334
GENERAL SHOUT,0.2676106724092997,0.05918843003131726,0.23088346411683536,0.026679352419877927,0.5461599010254597
MERCENARY,0.7777831485612923,0.10265107216210831,0.41793243558433046,0.014822292409510995,0.6188230392551699
CROWD,0.07802983086782574,0.4745352757277705,0.025987289098717642,0.03319288856641068,0.9446291086244619
ROSIE,0.2872102667957512,0.05928048445792748,0.8204965613389673,0.30631578603075005,0.4090298712225528
DAMROD,0.5824009814604607,0.7989408227943964,0.14092080662918158,0.22150159422838409,0.8837050812395681
SOLDIERS IN MINAS TIRITH,0.7711275503450351,0.14457924967902,0.982860836660962,0.044343846791993005,0.3136191652710056
SOLDIER 2,0.17876512298645916,0.022356040989144184,0.27957252866123194,0.005960749999490413,0.7833761149860237
LADY,0.8242674557339009,0.12251059241185944,0.31877784340269294,0.07143437369117331,0.8717367751081208
RING,0.9578690824701864,0.19066086473671112,0.027078684387012098,0.2378220295679915,0.7697557692727928
SOLDIERS ON GATE,0.9398474213379693,0.17839393443069582,0.3620551795451835,0.40853677825669765,0.8324856430614022
ROHIRRIM,0.48623022786135534,0.07635854273503688,0.12980926030702317,0.004054093002624193,0.19389300265125314
SOLDIER 1,0.4429757290163899,0.042031812414888785,0.928923706899498,0.7995446744170147,0.8621639803135611
SAURON,0.7777831485612923,0.10265107216210831,0.41793243558433046,0.014822292409510995,0.6188230392551699
ARMY,0.44097479519959676,0.07799980799733808,0.538123589876937,0.03900305502920216,0.9653304128879215
EYE OF SAURON,0.991886048992162,0.01348809728343576,0.19790828847286082,0.6399330527400646,0.8994783197106699
EOTHAIN,0.9807273904961,0.11730197813836256,0.45601217279470563,0.037214148495027695,0.9799918976085726
MERRY AND PIPPIN,0.834240281397783,0.08454873890004991,0.47914622581698857,0.017228478638499654,0.6510270215621529
EOWYN/MERRY,0.4939587218949789,0.399394757483165,0.593111747982606,0.1525675860834707,0.8350985755688205
OLD MAN,0.7777831485612923,0.10265107216210831,0.41793243558433046,0.014822292409510995,0.6188230392551699
FRODO VOICE,0.967971888593636,0.9979175021764093,0.9982620869154015,0.4624340426474568,0.9541212990018565
MRS BRACEGIRDLE,0.39413717251207175,0.13907839433816002,0.3835753302353624,0.016729069025116096,0.8121845255829683
PROUDFOOT HOBBIT,0.5843410559439977,0.008916607808399252,0.7512551177124178,0.39623183042811105,0.8582999330573167
MEN,0.5604407444351371,0.248500256985776,0.021797627309912394,0.7516050694503079,0.6463397572487029
